質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
「Google Chromeを有効にしてください」のエラーが表示される,"①　ホーム画面を開き、［設定］のアプリケーションを開く。
②［アプリ］をタップし、アプリ一覧の中から「Chrome」を選択する。
③　画面下部の［有効］をタップし、Chromeを有効化にする。
④　再度楽楽精算を開き、シングルサインオンできるかをご確認頂く。上記手順実施で問題なくログインできたため完了。",ログイン/PW,,,その他,0.3,「Google Chromeを有効にしてください」のエラーが表示される,「Google Chromeを有効にしてください」のエラーが表示される,"①　ホーム画面を開き、&#xff3b;設定&#xff3d;のアプリケーションを開く。
②&#xff3b;アプリ&#xff3d;をタップし、アプリ一覧の中から「Chrome」を選択する。
③　画面下部の&#xff3b;有効&#xff3d;をタップし、Chromeを有効化にする。
④　再度楽楽精算を開き、シングルサインオンできるかをご確認頂く。上記手順実施で問題なくログインできたため完了。"
スマートフォンアプリで「エラー：Google Chromeを有効にしてください。」と表示されログインできない場合の対処法は？,スマートフォンの設定から「アプリ」→「Chrome」を選択し、「有効」をタップしてください。その後、楽楽精算アプリを再度起動し、ログインをお試しください。,ログイン/PW,スマートフォンアプリ;エラー;Google Chrome;有効;ログインできない;楽楽精算;設定;対処法,,ユーザー,0.95,スマートフォンアプリで「エラー：Google Chromeを有効にしてください。」と表示されログインできない,スマートフォンアプリで「エラー&#xff1a;Google Chromeを有効にしてください。」と表示されログインできない,設定→アプリ→chrome→有効をタップ再度楽楽精算アプリを起動していただく問題なくログインできたため完了。
"承認が必要な伝票を開くと画面がグレーのまま展開しない。
ネットワークは問題ないか　⇒　
Edgeを再起動してどうか伺うが、昨日も承認不可だったとのこと。",遠隔実施PC名：SN54057894H未承認の伝票Noを選択すると画面がグレーとなり展開しない。キャッシュファイルクリア実施。お気に入りから接続し、再試行　⇒　承認できたことを確認。お気に入り登録されているサイトが旧URLのままになっているため、お気に入り登録し直していただくよう依頼。,システム操作,,,その他,0.3,【承認業務】承認が必要な伝票を開くと画面がグレーのまま展開しない,"承認が必要な伝票を開くと画面がグレーのまま展開しない。
ネットワークは問題ないか　⇒　○
Edgeを再起動してどうか伺うが、昨日も承認不可だったとのこと。",遠隔実施PC名&#xff1a;SN54057894H未承認の伝票Noを選択すると画面がグレーとなり展開しない。キャッシュファイルクリア実施。お気に入りから接続し、再試行　⇒　○承認できたことを確認。お気に入り登録されているサイトが旧URLのままになっているため、お気に入り登録し直していただくよう依頼。
インターネットの接続を確認してください。と表示される,"6/6にご案内メールを送付している旨をお伝え→メールが見当たらないと仰せ一度アプリをアンインストールし、再インストールをお試しいただくようご案内その後楽楽精算接続先一覧よりQRコードを読み取ってログインをお試しいただくようご案内やってみますとのことで終話
 
11:29にログインできていることを確認",ログイン/PW,ログイン;精算;スマホ,,その他,0.3,スマホアプリで楽楽精算にログインできない,インターネットの接続を確認してください。と表示される,"6/6にご案内メールを送付している旨をお伝え→メールが見当たらないと仰せ一度アプリをアンインストールし、再インストールをお試しいただくようご案内その後楽楽精算接続先一覧よりQRコードを読み取ってログインをお試しいただくようご案内やってみますとのことで終話
 
11:29にログインできていることを確認"
楽楽精算スマホアプリをアップデートしても通常の画面が表示されない場合はどうすればよいですか？,以下の手順をお試しください。①楽楽精算アプリを起動し、「URL変更」をタップして登録されているURLをすべて削除してください。②アプリを終了します。③パソコンで『共同_楽楽精算サポート - 楽楽精算の接続先一覧』を開き、「0099　日本ハム」様の行にあるQRコードをスマートフォンで読み取ります。④「ブラウザを開く」をタップします。⑤楽楽精算アプリが自動起動したら、「確定」→「URL変更」→「確定」→「シングルサインオン」をタップしてください。⑥その後、証明書ログインを行ってください。もし上記で解決しない場合は、「URL変更」画面でURL（https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/）を直接入力してログインできるかご確認ください。,ログイン/PW,楽楽精算;スマホアプリ;アップデート;ログイン;URL変更;QRコード;証明書ログイン;シングルサインオン,https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/,ユーザー,0.95,Fw: 【重要】3/10～楽楽精算スマホアプリのアップデートが必要です,"お世話になります。
アップデートしてもいつもの画面になりません。","以下回答メール送付
&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;&#61;
【回答】
一度以下の手順に沿って操作をお願い出来ますでしょうか。
①楽楽精算アプリを起動した際、「URL変更」をタップし、入っているURLを全て消して下さい。
②楽楽精算アプリを終了させてください。
③パソコンで、 共同_楽楽精算サポート - 楽楽精算の接続先一覧を開きます。
➃「0099　日本ハム」様の行にあるQRコードをタップし、スマートフォンのカメラ、もしくはQRコードリーダーで読み取りください。
⑤「ブラウザを開く」をタップします。
⑥楽楽精算アプリが自動起動しますので、「確定」→「URL変更」→「確定」→「シングルサインオン」をタップしてください。
⑦その後、証明書ログインをお願い致します。
もし不可の場合は、
一度上記「URL変更」画面でURLを直接手入力して、ログイン可能かご確認頂けますでしょうか。
➡https://rsfresco.rakurakuseisan.jp/iPm5P5ikWZa/
 
ご不明な点等ございましたら、下記問合せ先までご連絡ください。
以上、よろしくお願いいたします。"
スマホアプリのバージョンアップができない場合はどうすればよいですか？,Androidバージョンが11の場合、バージョンアップを試してもできない可能性があります。新しい機種が到着するまでお待ちいただくようご案内しています。,ログイン/PW,スマホアプリ;バージョンアップ;Android11;ログイン;アップデート;機種交換;新機種;対応案内,,申請者,0.95,【スマホアプリ】スマホアプリのバージョンアップができない,スマホアプリのバージョンアップができない,Androidバージョンが11。アップデートなど対応案内になるが、自社内で機種交換の話はあるか→一応ある。おそらくはバージョンアップなどを試していただいてもできない可能性があるので、新機種到着までお待ちいただくよう提案→了解いただく。
"先程アプリの再ダウンロードをしてほしいと言われ、再ダウンロードしたがログインできない
ホーム画面にアプリが表示されない","証明書ログインになるためIDにはメールアドレス、パスワードはパソコンにログインするものと
同じパスワードをご入力いただくようご案内
 
インストール済みになっているのであればどこかにあるはずなので探していただくようご案内
確認してみますとのことで終話",ログイン/PW,ログイン;精算,,その他,0.3,スマートフォンで楽楽精算にログインできない,"先程アプリの再ダウンロードをしてほしいと言われ、再ダウンロードしたがログインできない
ホーム画面にアプリが表示されない","証明書ログインになるためIDにはメールアドレス、パスワードはパソコンにログインするものと
同じパスワードをご入力いただくようご案内
 
インストール済みになっているのであればどこかにあるはずなので探していただくようご案内
確認してみますとのことで終話"
このバージョンでは使用できないと表示され使用できない,OSバージョンが11.0であると仰せOSのアップデートを行っていただくようご案内アップデートしないと使用できないためパソコン版でご使用いただくようご案内し、終話,ログイン/PW,精算,,その他,0.3,スマートフォンの楽楽精算アプリが使用できない,このバージョンでは使用できないと表示され使用できない,OSバージョンが11.0であると仰せOSのアップデートを行っていただくようご案内アップデートしないと使用できないためパソコン版でご使用いただくようご案内し、終話
スマートフォンで撮影した領収書ファイルをPCに転送したが、開かない。,遠隔実施PC名：SN24024877HPDFファイルを開くが、エラーで開かない。大元のJPEGファイルも同様に開かないが、Acrobat Readerで開いてしまう。*JPEGファイルの関連付けが「Acrobat Reader」になっていた為、「フォト」に変更。JPEGファイルは開くようになった為、PDFファイルとして保存し直す。こちらのファイルをご利用頂くよう依頼。,システム操作,領収書,,その他,0.3,スマートフォンで撮影した領収書ファイルをPCに転送したが、開かない,スマートフォンで撮影した領収書ファイルをPCに転送したが、開かない。,遠隔実施PC名&#xff1a;SN24024877HPDFファイルを開くが、エラーで開かない。大元のJPEGファイルも同様に開かないが、Acrobat Readerで開いてしまう。*JPEGファイルの関連付けが「Acrobat Reader」になっていた為、「フォト」に変更。JPEGファイルは開くようになった為、PDFファイルとして保存し直す。こちらのファイルをご利用頂くよう依頼。
スマートフォンで領収書を登録したいがパソコンの画面と同じ表示になっておりカメラで領収書が取り込めない,"14:45　メール送信------------------------------------------------------------先程お電話いただきました、URLの件ですが以下手順をお試しいただけますでしょうか。スマートフォンアプリを起動し、「URL変更」をクリック以下URLを入力しhttps://rsgraphic.rakurakuseisan.jp/iPm5P5ikPZa/「確定」をクリック、その後「シングルサインオン」をクリックしログインをお試しいただけますでしょうか。また、スマートフォンでの操作マニュアルを添付いたしますのでこちらもご確認いただけますと幸いです。（カメラで領収書の登録方法はP7をご確認ください）
17:06　メール受信
------------------------------------------------------------
ご連絡いただきました手順で精算出来ました。
ご対応有り難うございました。
------------------------------------------------------------
問題なく精算できたため完了",システム操作,領収書,,その他,0.3,スマートフォンで領収書を登録したい,スマートフォンで領収書を登録したいがパソコンの画面と同じ表示になっておりカメラで領収書が取り込めない,"14:45　メール送信------------------------------------------------------------先程お電話いただきました、URLの件ですが以下手順をお試しいただけますでしょうか。スマートフォンアプリを起動し、「URL変更」をクリック以下URLを入力しhttps://rsgraphic.rakurakuseisan.jp/iPm5P5ikPZa/「確定」をクリック、その後「シングルサインオン」をクリックしログインをお試しいただけますでしょうか。また、スマートフォンでの操作マニュアルを添付いたしますのでこちらもご確認いただけますと幸いです。&#xff08;カメラで領収書の登録方法はP7をご確認ください&#xff09;
17:06　メール受信
------------------------------------------------------------
ご連絡いただきました手順で精算出来ました。
ご対応有り難うございました。
------------------------------------------------------------
問題なく精算できたため完了"
