質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
intra-martで飲食費・ゴルフ関係費申請の内容を修正する方法を教えてください,申請内容の修正は、未処理一覧から対象の申請の処理ボタンを押して申請画面を開いてください。「１人当たり金額」は自動登録項目のため直接修正できませんが、「支出総額」「個人負担総額」「自社負担総額」を修正すると自動で反映されます。操作マニュアルはintra-martの窓口に掲載されています。,質問,intra-mart;飲食費申請;ゴルフ関係費申請;申請修正;処理ボタン;支出総額;個人負担総額;操作マニュアル,intra-mart飲食ゴルフ操作マニュアル,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請の修正方法がわからない,"飲食費申請をした。結果申請を出したいがどこを編集すれば良いのか分からない。
手順が分かりにくいので、入力の手順書はないか。","【対応内容(一次)】
リモート接続実施
SNX3033662H

フロー名：9910_NH直轄・コーポレート管轄 ＞ NH経理財務部 ＞飲食費・ゴルフ関係費申請

未処理の一覧に対象の申請があるが、どこから申請画面を開くかが分からない。
⇒処理ボタンを押していただく。

飲食費が安くなったため、積算情報で1人当たりの金額を修正したいが修正できない。
⇒こちらは担当より連絡させて頂くとお伝え。

申請手順のマニュアルがどこにあるか教えて欲しいとのこと。

【対応内容(二次)】
「１人当たり金額」は自動で登録される項目になりますので、入力不可の項目です。
「支出総額」や「個人負担総額」「自社負担総額」を修正すれば自動で反映されます。

また、飲食ゴルフの操作マニュアルはintra-martの窓口に掲載していますので、メールで共有しました。"
intra-martの飲食費・ゴルフ関係費申請DBで、ユーザCDが廃止された場合にPDF出力する方法を教えてください,代理元承認者や承認者の方も案件を開いてPDF出力が可能です。案件一覧から処理済（完了案件）を選択し、詳細画面で印刷を行ってください。,質問,intra-mart;飲食費申請;ゴルフ関係費申請;申請DB;ユーザCD廃止;PDF出力;代理承認者;案件一覧,,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBについて,"【intra-mart】飲食費・ゴルフ関係費申請DBについて、３．１６で担当であった「吉野 琢郎」様が関東ＮＦに異動になり、ＮＨ本体時代のintra-martのユーザCDが廃止になった。

飲食費・ゴルフ関係費申請をPDF出力してもらおうと思ったが、NH本体時代のユーザCDが廃止されているため、出力してもらうこともできない。


吉野 琢郎 様
NH本体時代のユーザCD：009910088013　※３．１６で廃止済
関東NFのユーザCD：0950950137","【対応内容(一次)】
飲食費・ゴルフ関係費申請DBのNHSS担当者を確認し、担当者から折り返すことをお伝え
　⇒NHSS_ノーツマイグレーション推進G　蛭子本さん

【対応内容(二次)】
代理元承認者か承認者の方も案件を開いてPDF出力可能なためご案内しました。

案件一覧　＞処理済（完了案件）　＞詳細　＞印刷"
飲食費・ゴルフ関係費申請がノーツからイントラマートに移行した場合、権限委譲の方法を教えてください。,飲食費・ゴルフ関係費申請も通常のワークフロー代理設定で問題ありません。操作マニュアルをご参照ください。,質問,飲食費申請;ゴルフ関係費申請;ノーツ;イントラマート;権限委譲;ワークフロー代理設定;操作方法;申請DB,操作マニュアル,申請者,0.95,飲食費・ゴルフ関係費 申請の権限委譲の方法について,"2024/10/30 14:36 今津対応

渋谷様より、下記の通り問合せあり。
--------------------------------------
いつも大変お世話になっております。

飲食費・ゴルフ関係費 申請がノーツからイントラマートに移行するに当たり、
権限委譲の方法を教えて頂けないでしょうか？

山中さんのメールにある通り、ワークフロー代理設定から以下の３つの権限を変更すれば大丈夫でしょうか？
ご確認の程お願い致します。","【対応内容(一次)】
2024/10/30 14:36 今津対応

飲食費・ゴルフ関係費申請DBのアプリ担当者へエスカレーション。
--------------------------------------

【対応内容(二次)】
飲食ゴルフも通常のワークフロー代理設定で問題ないことをお伝えして、操作マニュアルをお送りいたしました。"
intra-martの飲食費・ゴルフ関係費申請DBは、NHGのどのユーザでも利用できますか？特別な設定や申請は必要ですか？,intra-martの飲食費申請・ゴルフ関係費申請はNHGのどのユーザでも利用でき、ユーザ申請の際に特別な設定や申請は不要です。,質問,intra-mart;飲食費申請;ゴルフ関係費申請;DB;NHG;ユーザ;利用方法;設定,,申請者,0.95,飲食費・ゴルフ関係費申請DBを使用したい,飲食費・ゴルフ関係費申請DBを使用したいのですが、intra-martのユーザ以外に必要でしょうか。,"【対応内容(一次)】
2026/3/11　筒井　担当者へエスカレーション
折り返し連絡する旨を案内しましたのでご連絡をお願いいたします。

【対応内容(二次)】
intra-martの飲食費申請・ゴルフ関係費申請はNHGのどのユーザでも利用できるため、ユーザ申請の際に特別な設定・申請は不要である旨お伝え。
→ユーザ了承し、終話"
intra-martの飲食費申請で、当社が全て支払いする場合は「領収書の分割有り」をチェックする必要がありますか？,自社で全て支払う場合は「領収書の分割有り」のチェックは不要です。領収書分割は、領収書を分けて発行した場合にチェックをつける必要があります。,質問,intra-mart;飲食費申請;領収書分割;ワークフロー;申請方法;ゴルフ;支払い;操作方法,intra-mart飲食費申請画面のお知らせ,申請者,0.95,【intra-mart】飲食ゴルフ問合せ,"*********************************
【問い合わせ内容】
・フロー名：飲食費申請
・ワークフローでのお困り事（問合せ内容）：
飲食ゴルフの申請で、当社が全て支払いする場合、　「領収書の分割有り」をチェックしないと金額を入力できない。
当社が全て支払いする場合は、下記の入力は不要ですか？　
*********************************","【対応内容(一次)】
普通に自社で全て支払う場合は上記のチェックは不要かと思います。
領収書分割は領収書を分けて発行した場合にチェックをつける必要があるみたいです。

参考情報として、intra-martの飲食費申請画面のお知らせのリンクをお送りしました。

【対応内容(二次)】
nan"
イントラマートの飲食費申請で「ショートカット情報が存在していません」というエラーが表示される場合の対処法は？,「ショートカット情報が存在していません」と表示される場合、以下の原因が考えられます。1. ログインID・パスワードが間違っている（出向者の場合はアカウントが2つあるため、正しいアカウントでログインしてください）。2. 既に承認や差戻しの処理を実施した案件のURLを開いている。3. メール内のURLの有効期限が30日であるため、30日以前に届いたURLを開いている。,質問,イントラマート;飲食費申請;ショートカット情報が存在していません;エラー;ログインID;パスワード;承認;URL有効期限,,申請者,0.95,【intra-mart】飲食費・ゴルフ関係費申請DBについて,"イントラマートの飲食費申請についてご質問のになります。
近畿第二事業部所属の上村が飲食費申請を申請したところ、
近畿第二事業部長の中野の画面にて以下の表示が出ました。

「ショートカット情報が存在していません。」

中野は3月16日付で新たに事業部長に着任された方になります。
こちらの原因は何が考えられますか？
ユーザー登録関係であると思うのですが、中NFポータルにある申請は処理可能だそうです。
中NFポータルとユーザー登録情報が違う場合はどちらを変更申請すればよろしいでしょうか？","【対応内容(一次)】
「ショートカット情報が存在していません」の表示が出るとのことですが、
以下原因の可能性がありますので、よくあるお問合せのリンクをお送りいたします。


承認依頼メール内のURLを開こうとすると、「ショートカット情報が存在していません」と表示される。

【1】ログインID・パスワードが間違っている。
　　※出向者の場合はアカウントが２つありますので、正しいアカウントでログインをお願いいたします。
【2】既に承認や差戻しの処理を実施した案件のURLを開こうとしている。
【3】メール内のURLの有効期限が30日のため、30日以前に届いたURLを開こうとしている。

【対応内容(二次)】
nan"
イントラマートで所属組織を変更した場合、飲食ゴルフ申請の承認経路も自動的に変更されますか？,飲食・ゴルフ申請は申請書画面上で承認者を設定する仕様のため、イントラマートで所属組織を変更してもシステム側で承認者が自動的に変更されることはありません。,質問,イントラマート;飲食ゴルフ申請;承認経路;所属変更;申請書画面;承認者設定;システム仕様;稟議,,申請者,0.95,飲食ゴルフ申請の承認経路について,"イントラマートでの所属変更を申請をすることで、
稟議や交際費申請の承認経路が変わるという認識でよろしいでしょうか。","【対応内容(一次)】
稟議については稟議書担当が回答。

飲食・ゴルフ申請は申請書画面上で承認者を設定する仕様のため、intra-martで所属組織を変更してもシステム側で承認者が変更されることはない旨ご回答。

【対応内容(二次)】
nan"
スマートフォンで飲食費・ゴルフ関係費申請DBを承認する方法を教えてください。,対象のスマートフォンから http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf にアクセスし、NotesのID・パスワードでログインすると閲覧が可能です。申請方法や操作方法の詳細については、経理担当または日本ハムの経理財務部へお問い合わせください。,質問,スマートフォン;飲食費申請DB;ゴルフ関係費申請DB;Notes;承認;ログイン;経理;操作方法,http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf,申請者,0.95,【Notes】スマホでの飲食費・ゴルフ関係費申請DBについて,"スマートフォンで、飲食費・ゴルフ関係費申請DBの承認はどうやってやりますか。

スマートフォンで、飲食費・ゴルフ関係費申請DBで決済している人がいるらしく、
それを見た上司からどうやってやるのか確認しておいてほしいと言われたとのこと。

そもそもスマホでNotesは開けるのでしょうか？","【対応内容(一次)】
確認し折り返し。終話。

平田さんに確認
----------------------------------------------------------
14:59　メール送信

表題の件につきまして、下記リンクに対象のスマートフォンからアクセスいただき、NotesのID・パスワードでログインいただくとスマートフォンでの閲覧が可能なようです。

こちらをクリック ⇒http://notes05.in.nipponham.co.jp/data16/golfoodb.nsf

ログイン後の申請方法や操作方法につきましては、サポートデスクでは分かりかねるため、
恐れ入りますが経理担当の方もしくは、日本ハムの経理財務部へお問い合わせいただけますでしょうか。
----------------------------------------------------------
14:59　架電

メール確認いただくようお伝えし終話。

【対応内容(二次)】
nan"
スマートフォンでNotesの飲食費・ゴルフ関係費 申請DBを開くと「対象DB設定」という画面が表示されDBを閲覧できない場合はどうすればよいですか？,インストールしたアプリのアイコン名が「Notes07.in.ni…」の場合、アイコンが異なっている可能性があります。飲食費・ゴルフ関係費 申請DBの管理者にご相談ください。詳細は日本ハム㈱経理財務部(06-7525-3041)までお問い合わせください。,トラブル,Notes;スマートフォン;飲食費・ゴルフ関係費 申請DB;対象DB設定;アプリ;DB閲覧;経理財務部;管理者,,申請者,0.95,【Notes】スマートフォンで飲食費・ゴルフ関係費 申請DBを閲覧できない,"役員の方のスマートフォンで、Notesの飲食費・ゴルフ関係費 申請DBを閲覧したい。

アプリをインストールしてログインまではできた。
ログインするとSIMS承認一覧という画面に[対象DB]というリンクがあり、
[対象DB]を開くと対象DB 5個が表示され、その中に飲食費・ゴルフ関係費 申請DBがあるが、
飲食費・ゴルフ関係費 申請DBを開くと、「対象DB設定」という画面になり
サーバー名：notes05、データベース名：飲食費・ゴルフ関係費 申請DB、ファイル名：data16\golfoodb.nsf
といったDB情報が表示されるだけで、DB自体は閲覧できない。

PCでは利用可能だが、今回出張でPCは持って行かない予定であり、
宝幸 経理部からスマートフォンのNotesで利用可能だと言われて設定している。","【対応内容(一次)】
インストールしたアプリ名（ホーム画面アイコンの名前）⇒「Notes07.in.ni…」

アイコンが異なっていると思われる。
飲食費・ゴルフ関係費 申請DBの管理者にご相談いただくよう依頼。
日本ハム㈱経理財務部(06-7525-3041) をお伝え。

【対応内容(二次)】
nan"
intra-martで飲食・ゴルフ申請の事前承認待ちとなっている場合、どのように承認すればよいですか？,「承認」ボタンが表示されず「確認」ボタンのみの場合は、会計システム運用の対象となるため、詳細は担当部門にお問い合わせください。,トラブル,intra-mart;飲食申請;ゴルフ申請;承認方法;事前承認;承認ボタン;確認ボタン;会計システム,,申請者,0.65,【intra-mart】飲食・ゴルフ申請の承認方法がわからない,「事前承認待ち」として届いているが、承認ができない。どのように承認すればいいのか。,"【対応内容(一次)】
「承認」ボタンが押せないのか。　→　「承認」ボタンがなく「確認」ボタンしかない。

申請番号や案件番号があるかお伺いするが、見当たらない模様。
高梨様より事前申請したので承認お願いしますといったメールが届いたとのこと。

申請者：髙梨.正広様
申請日：5/20

担当部署より折り返し連絡させていただくとお伝え
-------------------------
白鳥様より稟議とのお話しがあったため標準化推進グループへエスカレーションするが、
標準化推進グループの担当者様より、稟議書で事前承認はなく、確認したところ「飲食費・ゴルフ申請」と思われるため会計システム運用になるとのご連絡あり。
-------------------------
15:20 白鳥様へ折り返し連絡
対象フローを確認すると「ゴルフ申請」とのこと。

※恐れ入りますが、ご対応お願いいたします。

【対応内容(二次)】
nan"
